HotelName,MHID,WVitemID,NE_Code,CAitemID,TripadvisorLocationID
Ananta Burin Resort,t84a3sx,118629,KBVANTA,4744,1233732
Anantara Dhigu Resort & Spa,yy6qj0d,142828,HMLEANAD,68557,0
Anantara Mui Ne Resort & Spa,3L68vcq,118535,SGNLANM,75918,1071707
Anantara Veli Resort & Spa,sLpqjgv,138366,HMLEANAV,57598,1024787
Anaxos Hill Village,f71381o,14399,MJTHILL,16083,1118673
Andaman Seaview,yu15u9h,10564,HKTANSE      ,4774,307286
Andamania Beach Resort,6j01t6c,125238,HKTANKA,38098,1019542
Andel's Hotel Berlin,1mtzct8,120211,HBERANDE,9581,1396613
Aneka Lovina,p5dhacb,123752,HDPSANLO,64273,450821
Anemoni Beach,tzx4owj,4757,JSIANEM      ,16055,0
Angeleno - Brentwood,dijhsyd,11872,HLAXHOBR  ,15400,84522
Angleterre Hotel,4uu7xyp,138356,HBERANGL,58205,290388
Anise,,119416,HHANANIS,75896,0
Anna Maria,65z8cnw,181926,CHQANMA,72097,0
Annas Studios,4y5d0j2,4767,RHOANNA      ,15308,6419410
Antonis,qpvmyiw,192936,PVKANDO,89816,0
Ao Prao Resort,3u1jeat,10407,HPYXAOPR,8919,455164
Apartamentos Aguamarina,0ptj1mg,109675,TFSAGUM,36600,1018687
Apartamentos Alta,8e2ghj9,4789,TFSALTA      ,8962,599044
Apartamentos Amazonas,cawhL6h,184803,LPAAPAM,78079,0
Apartamentos Aquasol,uiria8t,194563,LPAAQUA,96684,0
Apartamentos Ciaboga,m4hzyxy,4796,LPACIAB      ,70428,0
Apartamentos Dunas Club,k7paat9,181567,FUEDUNA,90975,0
Apartamentos Florida,47uLy1v,99853,LPAFLOR,70379,2223945
Apartamentos Gelimar,q3hui8z,183392,LPAGELI,75026,0
Apartamentos Green Ocean,xL99cpj,181621,LPAAGRE,71262,0
Apartamentos Karina,gg59d1e,183258,LPAKARI,82642,0
Apartamentos Mar Brava,jq9npca,187480,PMIMARB,96201,0
Apartamentos Montemayor,sm74njr,184117,LPAMOMA,75551,0
Apartamentos Monterrey,08sutt2,194569,LPAMREY,96798,0
Apartamentos MS Alay,hyuacgc,119155,HAGPALAY,35945,502449
Apartamentos Siesta 1,pgjdf5v,121125,PMISIES,16126,500087
Apartamentos Sol de Alcudia,noLfemg,123740,PMISOLA,34974,248977
Apartamentos Tinoca,Lmsqido,140292,LPATNCA,61941,1171897
Apartamentos Tivoli,j2488ug,137747,LPATVLI,57281,291155
Aparthotel Folias,27z5rx7,4804,LPAFOLI      ,59878,565237
Aparthotel Holiday Center,6dbacfn,190336,PMIHOLC,87134,0
Aparthotel Kn Columbus,wtscfLq,195713,TFSCOLU,99693,0
Aparthotel Nereida,rsakLk2,154478,IBZNERE,97692,0
Apartments Ivana,t7bsdar,128142,SPUIVAS,96149,1173376
Apartments Putnik,bhju0hf,4819,SPUPUTN      ,96150,2315425
Apartments Rosso,pzoyrx6,4823,SPUROSS      ,96151,0
Aphea Village,L3q6tea,125781,CHQAPHE,71558,950425
Aphrodite Studios,z590L3a,181840,MJTAPHR,72209,0
Apladas,3vcq70v,14401,CHQAPLA,37613,278874
Apollo Beach,u1iq6sb,182639,RHOBEAC,82156,0
Apostolis,scno0mx,182735,PVKAPOS,74703,0
Apt Guinea,r01tijv,4849,LPAGUIA      ,37393,289653
Aptos Acali,4j5nit8,4871,LPAACAL      ,70435,0
Aqua Hotel Bertran,obha2d5,195642,HBCNAQUA,98234,0
Aquabarra Boutique Hotel,,194110,HRIOAQUA,95775,0
Aquagrand,scidii6,123181,RHOAQUA,34262,1601252
Aquamarine Resort ,5nt6mru,120380,KBVAQUA,33212,319913
Aquincum Hotel Budapest,2aLpgbq,10418,HBUDCOAQ,18028,0
Arabella Beach,Lacd4b8,4928,VARARAN,6736,1131998
Arabian Courtyard,Lm96m8k,102718,DXBARAB,18033,0
Arayaburi Resort ,met81re,118017,HHKTARAY,18134,609931
Archipelagos,vw3abke,4930,CHQARCH      ,19442,659854
Architects Apartments,Lh4vanf,181914,CHQARPA,72107,0
Arcotel John F Berlin,f08wmxg,125476,HBERJOHN,38247,0
Arcotel Velvet,jhj0uzf,122348,HBERVELV,28337,282590
Areetara Resort,zqgrfww,120374,KBVAREE,8982,0
Areias Village,4cwymum,191505,HFAOAREI,87242,0
Arena Suites,r3oeL6z,195837,FUEARSU,99597,0
Aria Resort & Casino,32vcj4t,191374,HLASARIA,91162,0
Ariadne,iqgLjxy,4939,CHQARII      ,71151,659886
Ariana Apartments,Lzeimpe,99415,CHQARIA,66794,4955275
Aristidis Garden,ybxfi20,142954,PVKGGAR,68550,0
Ariston,,141712,HCTAARPA,66015,195175
Ariston,19bmzqf,142065,HDBVARIS,66261,645905
Ariston,59uqa0y,4953,HPRGARIS,64427,276517
Ariston,g3rfzko,138683,HMILARIS,59231,232922
Arkadi,hd34kbm,183901,HCHQARKA,75409,0
Armadams,wstv427,6639,PMIARMA      ,16136,231673
Arminda,fvhsb0t,108729,HERARMI,9204,595279
Aroma Villa,d8aqjkc,193139,KVAARVI,90002,0
Arsi Hotel,uqy53qn,182743,AYTARSI,74339,0
Art Noveau Palace Hotel,zfy8a2b,138119,HPRGPALA,56952,0
Artemis,juoyspy,126073,RHOARTE,83601,0
Artemis Hotel Aparts,,122956,LCAARTE,79907,595586
Ascot,gr00sqw,4985,HROMASCO,9317,529600
Ascot,8ndz58a,108780,HNAPASCO,15350,316563
Asterion,dvnsL8y,100956,CHQASTE,75421,606644
Astir Notos,rtcjcjr,108489,KVAASTI,97945,1177370
Aston La Scala,d1pr7ej,11816,HNCEASTO  ,9089,197185
Astor Saint Honore,yzrfLyi,120147,HPARASOR,17915,0
Astoria,kLkkxm0,15533,HVIEASTO,59246,206602
Astron,wkw78ue,186773,HERASTR,80740,0
Atalaya Park Golf & Holiday Resort,4nimdvu,108359,HAGPATAL,9398,239244
Athena Pallas Village,z8q4x5x,192908,HSKGAPAL,89604,0
Athenaeum,znbcqcb,11468,HLONATHE  ,67690,0
Athena's,dc9j6fx,5033,PVKATHI      ,9146,1379623
Athina,o2k3zcn,11085,RHOATHI      ,9279,0
Athineon,rurdwvo,11083,RHOATHA      ,83594,575951
Atlantic,ybr8q18,16190,HPRGATLA,18006,276682
Atlantis Hotel Vienna,t8erria,138712,HVIEATLN,59248,231980
Atlantis The Palm,q2jjqse,119815,HDXBATLA,18036,1022759
A-Train,ms9v2qe,138394,HAMSATRA,58905,238565
Augustino Bungalows,g8vrhuv,189348,LPAAUGU,84369,0
Austria Trend Hotel Beim Theresianum,6d86xLc,123469,HVIETREN,62015,264920
Avalon Hotel,mbpsn7s,118152,HRIXAVAL,42336,0
Avenida Palace,dyhug6q,11472,HLISAVEN  ,17989,195643
Avenue,ngtku5b,11474,HAMSAVEN  ,9298,232325
Avila Beach Hotel,kopj08k,13051,AUAAVIL,67425,0
Avista Hideaway Resort And Spa,xka06o8,193721,HHKTAVIS,91134,0
Avos,52sdi09,186901,DLMAVOS,81887,0
Avra,ct5itg2,5077,PVKAVRA      ,9135,621576
Avra City Hotel,m4brrLk,183950,HCHQAVCI,75410,0
Avra Imperial Beach Resort & Spa,Lrfv6qp,123655,CHQAVRA,37887,2169582
Baan Samui Resort,8yLuf6j,5100,HUSMBAAN,18106,315587
Bacoli,zzpfrm3,5113,PVKBACO      ,9147,5449096
Bahia Colon,2tg3gwn,5119,TFSCOLO      ,8928,1145234
Bahia de Alcudia,dbev8hg,123165,PMIBAAL,34103,254859
Bahia de Lobos,5p10gi8,188856,FUEBALO,87018,0
Bahia Mar Fort Lauderdale Beach,y7tLngx,12372,HFLLRABM  ,15423,84482
Bahia Pollensa,b4irdc0,5123,PMIBAPO      ,34166,288100
Bahia Principe Coral Playa,i8xec77,131431,PMIBACO,43079,571236
Bahia Principe Costa Adeje & Tenerife,hdx9jdu,124344,TFSBATE,37431,250802
Bahia Principe San Felipe,gzyu283,9176,TFSFELI      ,42208,264732
Bahia Principe Tenerife,q1busud,136976,TFSSUBT,55686,502958
Bahia Resort,x0Lfi0x,11478,HSANBAHI  ,15410,83361
Baia Del Capitano,eLhao6f,141714,HCFLBAIA,77510,309988
Baia Hotel - Cascais,0iv1oq1,11480,HLISBAIA  ,15360,253498
Baikal,m08j6ez,5125,BOJBAIK      ,99488,1095759
Bajondillo,d4jvr89,5127,HAGPBAJO,9404,265398
Bakotu Hotel & Apartment,u9tuia7,10375,BJLBAKA      ,4607,552316
Bali Dynasty Resort,7xs8ef7,5139,HDPSBADY,18086,307575
Bali Mandira Beach Resort & Spa,qwwky7s,5141,HDPSMAND,60948,1095744
Balito Beach,4d5hpws,141492,LPABALB,65622,287001
Baltic Vana Wiru,b4qkqyy,138873,HTLLBALT,59499,277106
Bambi/Astoria,raduzvs,5153,TFSBAMB      ,8963,507918
Bandama Golf Hotel,y39dn98,5155,LPABAND      ,56243,1213418
Bandara,sghdg80,99417,HUSMBAND,4733,578366
Bandara On Sea,,9352,HPYXSIRI,8923,1950730
Banthai Beach Resort & Spa,2u4w5oa,10570,HKTBANT      ,8989,448627
Banyan Tree Al Wadi,vywddmc,183192,HDXBBANY,74350,0
Baobab Suites,y6iz7zL,141616,TFSBAOS,66660,4961469
Baraza Resort,wcbzi6f,181609,HZNZBARA,76238,0
Barceló Bávaro Palace Deluxe,47bmw89,120437,PUJBAPA,89351,1673192
Barceló Corralejo Bay,e32kfp6,136861,FUECORB,56642,678447
Barcelo Illetas Albatros,q2d860o,125591,PMIALBA,41842,254860
Barcelo Malaga,i1w9rsw,183764,HAGPBAMA,74888,0
Barcelo Pueblo Park,7c74t7b,125521,PMIPUPA,38563,518379
Barcelo Royal Beach,scbLv5L,108901,BOJROYA,82623,650587
Barceló Santa Cruz Contemporaneo,9m05kxt,136230,TFSCONT,55652,232770
Barefoot Beach Hotel - Madeira Beach,px2gr37,108886,HCLWBBMB,15419,284349
Barefoot Beach Resort - Indian Shore,95r8cjk,108884,HCLWBBIS,15418,594686
Barlovento,diib4ha,5171,LPABARL      ,8859,287411
Barut Acanthus & Cennet,xfi5xw0,194051,AYTAKCE,96259,0
Barut Akra,zsenu6u,179609,AYTAKRA,79668,0
Barut Akra Park,zsenu6u,194058,AYTAKPA,96957,0
Barut Hotel Arum Resort & Spa,b3xrvm5,4978,AYTARUM      ,9564,304598
Barut Hotel Lara Resort Spa & Suites,eh395qf,7455,AYTLARA      ,9547,557049
Bávaro Princess All Suites Resort & Spa,cce4kyc,191567,PUJBAPR,90394,0
Bay View,g0tbfrL,10446,CHQBAYV      ,97172,4464171
Bay View Resort ,68m3ax2,5183,HHKTBAYV  ,18135,0
Baywatch,d1fkgjk,11071,PVKBAYW      ,9149,0
Baywatch Resort,zuv2zej,117843,GOIBAYW,99232,0
Bayview,ka1cmbv,123680,MLABAYV,35727,585452
BCM Hotel,t6x56fy,188597,PMICLUB,96699,0
Be Hotel,0uywxsn,123691,MLABAYT,35724,0
Be Live Adults Only Tenerife,asghjfz,120140,TFSLUAB,8966,264720
Be Live Experience La Niña,7w76mfh,191937,TFSNINA,89818,0
Be Live Las Morlas,rew0fL5,136963,VRAMORL,88349,290690
Be Smart Florida Plaza,8erzrw6,6199,TFSFLOR      ,8965,589909
Beach Garden,6em1udy,5199,BKKBEAC      ,4708,315591
Beachcomber Beach Resort and Hotel -St. Petersburg,7ymqchh,109007,HCLWBBRH,15420,80025
Beacon Hotel,iL0cahq,11494,HNYCBEAC  ,15376,93338
Beau Rivage,h4z7crz,138783,HNCEBERI,59283,197198
Begonville Side,xtL2a5w,5313,AYTBOUG      ,9566,1130863
Belair Beach,36jvjfn,186356,RHOBELA,79286,0
Belfast,pkk5v07,5219,HPARBELF,17916,593228
Bella Casita Family Apartments,kww9L1n,186381,CHQCASI,79293,0
Bella Pais,Leohj4m,14218,CHQPAIS,9222,660026
Bella Vista,zgdm2LL,102689,MJTBELL,71852,1114338
Bella Vista Village,4v5qkap,5227,CHQBELL      ,56267,490823
Belle Mare Plage,dbiw2tw,5231,MRUBELL      ,18064,1189024
Belle-Ocean Apart Hotel,tixabw3,109418,AYTOCEA,99220,0
BelleVue Club,mmxc9gf,99884,PMIBELL,99098,0
BelleVue Club Apollo,mmxc9gf,128728,PMIAPOL,97231,487374
BelleVue Club Ceres I,mmxc9gf,142171,PMICERE,98915,487374
Belvedere,wobqhg9,11504,HNYCBELV  ,15377,93569
Belvedere,hg5ucv0,119166,PUYBELV,76083,618054
Belvedere,6a1x64v,5241,CHQBELV      ,72047,0
Belvedere,60sotbp,11062,HPRGBELV,9512,276519
Berjaya Beau Vallon Bay,oddzvpd,11510,HSEZBERJ  ,65117,316585
Berjaya Eden Park,c03nvjt,118678,HLONBERJ,17991,0
Berjaya Langkawi Resort,b3si9s4,14777,HLGKBERJ,15247,307706
Berjaya Praslin Resort,zkdv62v,139123,HSEZBEYA,65191,317026
Berlin Mark,9410rty,11518,HBERMARH  ,9585,199430
"Berlin, Berlin",iscjmdt,15564,HBERBERL,9584,0
Best Age Fuerteventura,rvxc51h,197670,FUEBAGE,99082,0
Best Western Amber,7cyaozz,138231,HISTWEST,58216,1441812
Best Western Astoria,xaaj56o,183899,HNCEBWAS,75297,0
Best Western Empire Palace,w6e5hh7,138265,HISTEMPI,58217,446862
Best Western Eresin Taxim,mb8op6m,121594,HISTTAKS,18012,0
Best Western Hotel Arosa,fz4th2z,138530,HMADAROS,58926,195190
Best Western Hotel Berlin Mitte,axwa094,138302,HBERMITT,58208,651595
Best Western Hotel Hungaria,214shdk,138898,HBUDBWHU,59212,0
Best Western Hotel Kantstrasse,d3gih68,138300,HBERKANT,58209,199396
Best Western Hotel Páv,ggh6fd0,121764,HPRGPAVA,18007,0
Best Western Le Grand Pavois Hotel,pjg3sLn,184032,HNCEBWLG,75296,0
Best Western Le Patio des Artistes,os1Lgzo,15634,HNCEEMBA,59275,196999
Best Western Mayorazgo,7yx7nph,12138,HMADMAYO  ,60880,232814
Best Western Mornington Hotel,9xzmk9b,10820,HLONMORN,9074,0
Best Western Plus Blue Sea Lodge,bj6fafp,14923,HSANBLUE,15411,77401
Best Western Plus Gateway - Santa Monica,vq0ovys,11522,HLAXBEST  ,15401,81245
